Title,Number of review,Catagory,Reveiw Comment,Popular food,Online Order
All Stars Sports Bar & Grill,21,"Bar, Pub","“The fries were terrific also, hot crisp...”",fries,Yes
Olio e Piu,"2,998","Italian, Pizza",“I love the food and our server Maria!”,filet mignon,Yes
Boucherie West Village,"1,465","French, Steakhouse",“The filet mignon was impeccable and the mussels and steak tartare were also v...”,lobster,Yes
Club A Steakhouse,"4,413","American, Steakhouse","“My seafood cocktail had wonderful large lump crabmeat, delicious lobster and...”",cacio e pepe,Yes
Piccola Cucina Estiatorio,403,"Italian, Sicilian",“penne al pomodoro and bucatini cacio e pepe were delicious.”,mussels,Yes
Boucherie Union Square,"1,325","French, Steakhouse","“Highly recommend the onion soup, mussels and french fries.”",pizza,Yes
KOBA Korean Bbq,5,"Asian, Korean",“Great food ; good price”,French Onion Soup,Yes
Katherine,111,Italian,“Best cocktails”,mussels,Yes
Bleecker Street Pizza,"1,725","Italian, Pizza",“Worth travelling over 5000 miles for”,burger,Yes
Numero 28 Pizzeria,"1,194","Italian, Pizza","“Incredible Italian, perfect pizza, top...”",tikka masala,Yes
SottoCasa Pizzeria,430,"Pizza, Neapolitan",“Splendid pizza”,crispy duck,Yes
Los Tacos No. 1,708,"Mexican, Latin",“Excellent”,breakfast sandwich,Yes
Quality Bistro,67,"French, American","“We had French Onion Soup, which was delicious.”",Arancini,Yes
The Consulate,247,"French, American","“... food is great, especially the mussels, they were so good and fresh!! Abso...”",lamb,Yes
Petite Boucherie,635,French,"“We loved the charcuterie board, the burger, and of course the onion soup and...”",mussels,Yes
Spice Symphony,"2,785","Indian, Healthy",“The chicken tikka masala is my favorite...”,ceviche,Yes
Mei Jin Ramen,178,"Japanese, Asian","“Good ramen, no frills”",Cod,Yes
Bua Thai Ramen & Robata Grill,448,"Thai, Sushi",“The wings and crispy duck fried rice were by far our favorite!”,beef,Yes
Famous Amadeus Pizza,297,"Quick Bites, Italian",“Delicious”,Bolognese,Yes
Bagels & Schmear,264,"American, Cafe",“... the breakfast sandwich’s and of cou...”,Soup,Yes
Piccola Cucina Osteria,"2,710","Italian, Sicilian","“Buratta, Arancini, bucatini, lasagna, everything was delicious.”",nachos,Yes
Loi Estiatorio,636,"Mediterranean, Greek",“The fish is fresh and moist and the lamb is superb.”,Steak,Yes
La Grande Boucherie,"1,162","French, Steakhouse","“Highly recommend the branzino, ravioli, and mussels.”",chicken piccata,Yes
K Rico Steakhouse,"3,486","American, Steakhouse",“We adults devoured the ceviche and octopus enjoying g every bite!!!!….mmmmmmm...”,french toast,Yes
Lezzet Mediterranean Turkish Restaurant,17,"Mediterranean, Turkish",“Very Authentic & Delicious”,ribeye,Yes
Jungsik,289,"Asian, Korean","“... Korean cuisine, for example Sea Urchin Bibimbab or Black Cod with Clam Foam.”",No,Yes
Pure Thai Cookhouse,"1,516","Asian, Thai","“Chicken satay buns to start followed by prawn pad, Thai, and a fantastic beef...”",No,Yes
Spice Symphony,224,"Indian, Asian",“Excellent food”,No,Yes
Scalini Fedeli,446,Italian,“The others had the Bolognese followed by the pork chop dinner.”,No,Yes
Kuu Ramen,223,"Japanese, Asian",“Soup is slightly salty but pork and the noodles inside is amazing.”,No,Yes
Tangy Noodle,3,"Chinese, Asian",“Great quality for the price!”,No,Yes
Bill's Bar & Burger,"1,408","American, Bar",“We started with the loaded nachos.”,No,Yes
Royal 35 Steakhouse,591,"American, Steakhouse","“Superb Steak, really delicious”",No,Yes
